date,station_id,station_name,solar_radiation,sunshine_duration,mean_temperature,mean_cloud_cover
2020-01-01,108,서울,4.53,0.8,-2.2,8.9
2020-01-02,108,서울,3.47,0.0,1.0,7.9
2020-01-03,108,서울,10.1,8.8,-0.1,0.0
2020-01-04,108,서울,9.29,7.9,1.2,2.1
2020-01-05,108,서울,9.1,7.1,1.3,3.9
2020-01-06,108,서울,2.03,0.0,3.1,9.8
2020-01-07,108,서울,0.75,0.0,6.3,10.0
2020-01-08,108,서울,1.84,0.0,2.4,9.6
2020-01-09,108,서울,9.14,8.7,-1.2,1.6
2020-01-10,108,서울,9.39,7.5,-0.6,3.1
2020-01-11,108,서울,10.13,8.1,-0.1,3.6
2020-01-12,108,서울,10.33,8.6,-1.0,3.6
2020-01-13,108,서울,11.15,8.1,-2.9,1.4
2020-01-14,108,서울,10.06,8.5,-2.3,1.0
2020-01-15,108,서울,11.6,9.2,-2.7,0.1
2020-01-16,108,서울,10.75,8.3,-1.7,5.0
2020-01-17,108,서울,9.85,7.6,-0.6,4.8
2020-01-18,108,서울,11.38,9.1,0.3,2.1
2020-01-19,108,서울,6.08,4.8,1.9,4.8
2020-01-20,108,서울,10.24,8.7,0.7,2.3
2020-01-21,108,서울,11.55,9.2,-0.4,2.9
2020-01-22,108,서울,6.8,3.7,3.0,7.8
2020-01-23,108,서울,10.73,8.8,4.6,3.4
2020-01-24,108,서울,10.53,8.8,2.8,3.0
2020-01-25,108,서울,7.86,3.6,4.3,7.4
2020-01-26,108,서울,11.21,7.3,5.5,5.8
2020-01-27,108,서울,2.76,0.0,5.9,9.5
2020-01-28,108,서울,3.98,0.0,6.8,7.3
2020-01-29,108,서울,7.3,3.1,6.0,6.6
2020-01-30,108,서울,9.24,5.5,5.2,4.0
2020-01-31,108,서울,9.41,6.1,3.9,4.8
2020-02-01,108,서울,7.17,5.3,2.6,3.4
2020-02-02,108,서울,8.39,4.8,1.5,6.1
2020-02-03,108,서울,13.56,9.6,-0.4,1.5
2020-02-04,108,서울,10.01,6.4,-1.6,3.9
2020-02-05,108,서울,14.82,9.7,-8.3,0.0
2020-02-06,108,서울,13.97,9.7,-6.4,0.9
2020-02-07,108,서울,10.14,6.1,-1.7,8.9
2020-02-08,108,서울,13.89,9.6,-0.1,2.5
2020-02-09,108,서울,14.33,9.6,-0.5,2.8
2020-02-10,108,서울,14.22,9.7,4.0,1.1
2020-02-11,108,서울,10.91,7.6,6.8,2.3
2020-02-12,108,서울,2.86,0.0,7.4,9.9
2020-02-13,108,서울,6.43,1.3,6.5,9.1
2020-02-14,108,서울,13.13,8.7,8.1,2.1
2020-02-15,108,서울,8.77,5.0,9.8,5.8
